ano_lectivo,provincia,canton,parroquia,tipo_educacion,nivel_educacion,sostenimiento,area,regimen_escolar,total_docentes,total_estudiantes
2023-2024 Inicio,GUAYAS,GUAYAQUIL,JUAN GOMEZ RENDON (PROGRESO),Ordinario,Educación General Básica y Bachillerato,Particular,Rural,Costa,3,132
2023-2024 Inicio,GUAYAS,DURAN,ELOY ALFARO (DURAN),Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,321
2023-2024 Inicio,MANABI,EL CARMEN,EL CARMEN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,40
2023-2024 Inicio,GUAYAS,GUAYAQUIL,TENGUEL,Popular Permanente,Educación General Básica y Bachillerato,Particular,Rural,Costa,11,304
2023-2024 Inicio,NAPO,TENA,TENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,105
2023-2024 Inicio,MANABI,EL CARMEN,EL CARMEN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,12,417
2023-2024 Inicio,GUAYAS,GUAYAQUIL,LETAMENDI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,9,120
2023-2024 Inicio,GUAYAS,GUAYAQUIL,XIMENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,12,138
2023-2024 Inicio,PICHINCHA,QUITO,BELISARIO QUEVEDO,Ordinario,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Sierra,6,174
2023-2024 Inicio,GUAYAS,SAMBORONDON,TARIFA,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Particular,Rural,Costa,28,860
2023-2024 Inicio,GUAYAS,SAMBORONDON,TARIFA,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Particular,Rural,Sierra,13,208
2023-2024 Inicio,PICHINCHA,QUITO,CHILLOGALLO,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Costa,5,32
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SAN RAFAEL,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Particular,Urbana,Sierra,8,35
2023-2024 Inicio,PICHINCHA,QUITO,TURUBAMBA,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,6,96
2023-2024 Inicio,PICHINCHA,QUITO,MARISCAL SUCRE,Ordinario,Bachillerato,Particular,Urbana,Costa,4,1
2023-2024 Inicio,PICHINCHA,QUITO,CENTRO HISTORICO,Popular Permanente,Bachillerato,Particular,Urbana,Costa,9,37
2023-2024 Inicio,GUAYAS,GUAYAQUIL,ROCAFUERTE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,7,257
2023-2024 Inicio,GUAYAS,DURAN,ELOY ALFARO (DURAN),Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,3,160
2023-2024 Inicio,GUAYAS,GUAYAQUIL,TARQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,12,104
2023-2024 Inicio,PICHINCHA,QUITO,COMITE DEL PUEBLO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,183
2023-2024 Inicio,PICHINCHA,QUITO,COMITE DEL PUEBLO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,4,108
2023-2024 Inicio,GUAYAS,GUAYAQUIL,ROCAFUERTE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,5,79
2023-2024 Inicio,PICHINCHA,QUITO,MARISCAL SUCRE,Popular Permanente,Bachillerato,Particular,Urbana,Sierra,4,1
2023-2024 Inicio,PICHINCHA,QUITO,TURUBAMBA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,98
2023-2024 Inicio,PICHINCHA,QUITO,COCHAPAMBA,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Costa,6,15
2023-2024 Inicio,PICHINCHA,QUITO,BELISARIO QUEVEDO,Ordinario,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Costa,7,150
2023-2024 Inicio,PICHINCHA,QUITO,SAN BARTOLO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,10,131
2023-2024 Inicio,PICHINCHA,QUITO,LA MAGDALENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,77
2023-2024 Inicio,PICHINCHA,QUITO,SAN JUAN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,19,251
2023-2024 Inicio,PICHINCHA,QUITO,SAN JUAN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,17,195
2023-2024 Inicio,PICHINCHA,QUITO,COTOCOLLAO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,27
2023-2024 Inicio,PICHINCHA,QUITO,ITCHIMBIA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,4,34
2023-2024 Inicio,PICHINCHA,QUITO,ITCHIMBIA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,58
2023-2024 Inicio,PICHINCHA,QUITO,QUITUMBE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,0,10
2023-2024 Inicio,PICHINCHA,QUITO,LA MAGDALENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,11
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,325
2023-2024 Inicio,PICHINCHA,QUITO,SAN BARTOLO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,5,25
2023-2024 Inicio,GUAYAS,GUAYAQUIL,AYACUCHO,Popular Permanente,Bachillerato,Particular,Urbana,Costa,5,19
2023-2024 Inicio,PICHINCHA,QUITO,QUITUMBE,Popular Permanente,Bachillerato,Particular,Urbana,Sierra,5,142
2023-2024 Inicio,PICHINCHA,QUITO,SAN JUAN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,10,52
2023-2024 Inicio,GUAYAS,GUAYAQUIL,TARQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,9,150
2023-2024 Inicio,GUAYAS,GUAYAQUIL,NUEVE DE OCTUBRE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,9,186
2023-2024 Inicio,PICHINCHA,QUITO,CHILLOGALLO,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,8,183
2023-2024 Inicio,PICHINCHA,QUITO,CALDERON (CARAPUNGO),Popular Permanente,Bachillerato,Particular,Rural,Costa,10,26
2023-2024 Inicio,PICHINCHA,QUITO,LA MAGDALENA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,11,25
2023-2024 Inicio,AZUAY,CUENCA,SAN SEBASTIAN,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,10,37
2023-2024 Inicio,PICHINCHA,QUITO,CENTRO HISTORICO,Popular Permanente,Bachillerato,Particular,Urbana,Costa,5,2
2023-2024 Inicio,PICHINCHA,QUITO,SAN ISIDRO DEL INCA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,4,12
2023-2024 Inicio,PICHINCHA,QUITO,TURUBAMBA,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Costa,7,13
2023-2024 Inicio,PICHINCHA,QUITO,LA ARGELIA,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,9
2023-2024 Inicio,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Costa,9,241
2023-2024 Inicio,BOLIVAR,GUARANDA,GABRIEL IGNACIO VEINTIMILLA,Popular Permanente,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Sierra,6,44
2023-2024 Inicio,ESMERALDAS,QUININDE,ROSA ZARATE (QUININDE),Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,11,134
2023-2024 Inicio,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Popular Permanente,Educación General Básica y Bachillerato,Particular,Rural,Costa,9,79
2023-2024 Inicio,GUAYAS,GUAYAQUIL,TARQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,7,21
2023-2024 Inicio,GUAYAS,GUAYAQUIL,NUEVE DE OCTUBRE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,23
2023-2024 Inicio,LOS RIOS,QUEVEDO,QUEVEDO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,6,226
2023-2024 Inicio,TUNGURAHUA,AMBATO,MATRIZ,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,10,756
2023-2024 Inicio,TUNGURAHUA,AMBATO,MATRIZ,Popular Permanente,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Sierra,7,219
2023-2024 Inicio,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Rural,Costa,4,62
2023-2024 Inicio,BOLIVAR,CHILLANES,CHILLANES,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Sierra,7,104
2023-2024 Inicio,BOLIVAR,CHILLANES,SAN JOSE DEL TAMBO (TAMBOPAMBA),Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Rural,Costa,3,28
2023-2024 Inicio,TUNGURAHUA,AMBATO,SAN FRANCISCO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,2,135
2023-2024 Inicio,PASTAZA,PASTAZA,PUYO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,6,153
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,LIZARZABURU,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Sierra,7,139
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,LICTO,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Rural,Sierra,3,36
2023-2024 Inicio,TUNGURAHUA,AMBATO,MATRIZ,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,8,126
2023-2024 Inicio,PASTAZA,PASTAZA,PUYO,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,6,190
2023-2024 Inicio,TUNGURAHUA,AMBATO,MATRIZ,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,8,267
2023-2024 Inicio,BOLIVAR,CALUMA,CALUMA,Popular Permanente,Educación General Básica y Bachillerato,Fiscomisional,Urbana,Costa,7,51
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,MALDONADO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,12
2023-2024 Inicio,TUNGURAHUA,AMBATO,MATRIZ,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,5,41
2023-2024 Inicio,PICHINCHA,QUITO,CENTRO HISTORICO,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,6,57
2023-2024 Inicio,SANTA ELENA,LA LIBERTAD,LA LIBERTAD,Popular Permanente,Bachillerato,Particular,Urbana,Costa,4,166
2023-2024 Inicio,GUAYAS,EL TRIUNFO,EL TRIUNFO,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,4,70
2023-2024 Inicio,TUNGURAHUA,AMBATO,MATRIZ,Popular Permanente,Bachillerato y Ofertas Intensivas,Particular,Urbana,Sierra,7,295
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,65
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,12,19
2023-2024 Inicio,PICHINCHA,RUMIÑAHUI,SANGOLQUI,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,11,19
2023-2024 Inicio,PICHINCHA,QUITO,MARISCAL SUCRE,Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Costa,7,111
2023-2024 Inicio,PICHINCHA,QUITO,MARISCAL SUCRE,Popular Permanente,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,Urbana,Sierra,9,132
2023-2024 Inicio,GUAYAS,GUAYAQUIL,XIMENA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,17,557
2023-2024 Inicio,PICHINCHA,QUITO,IÑAQUITO,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,4,32
2023-2024 Inicio,PICHINCHA,QUITO,QUITUMBE,Ordinario,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,3,22
2023-2024 Inicio,PICHINCHA,QUITO,CALDERON (CARAPUNGO),Ordinario,Educación General Básica y Bachillerato,Particular,Rural,Sierra,8,11
2023-2024 Inicio,PICHINCHA,QUITO,CALDERON (CARAPUNGO),Ordinario,Bachillerato,Particular,Rural,Costa,7,2
2023-2024 Inicio,ORELLANA,ORELLANA,PUERTO FRANCISCO DE ORELLANA (EL COCA),Popular Permanente,Educación General Básica y Bachillerato,Particular,Urbana,Sierra,7,1300
2023-2024 Inicio,ORELLANA,LA JOYA DE LOS SACHAS,RUMIPAMBA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,3,45
2023-2024 Inicio,MANABI,SUCRE,BAHIA DE CARAQUEZ,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,15
2023-2024 Inicio,MANABI,TOSAGUA,TOSAGUA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,3,59
2023-2024 Inicio,MANABI,SAN VICENTE,SAN VICENTE,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,4
2023-2024 Inicio,SUCUMBIOS,LAGO AGRIO,DURENO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,6
2023-2024 Inicio,IMBABURA,COTACACHI,APUELA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,18
2023-2024 Inicio,MANABI,PORTOVIEJO,12 DE MARZO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,11,154
2023-2024 Inicio,MANABI,PORTOVIEJO,RIOCHICO (RIO CHICO),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,3,68
2023-2024 Inicio,MANABI,EL CARMEN,WILFRIDO LOOR MOREIRA (MAICITO),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,16
2023-2024 Inicio,MANABI,PAJAN,CASCOL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,13
2023-2024 Inicio,MANABI,SANTA ANA,HONORATO VASQUEZ (CAB EN VASQUEZ),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,12
2023-2024 Inicio,MANABI,SUCRE,CHARAPOTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,39
2023-2024 Inicio,MANABI,TOSAGUA,TOSAGUA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,7
2023-2024 Inicio,MANABI,PEDERNALES,PEDERNALES,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,22
2023-2024 Inicio,MANABI,PEDERNALES,COJIMIES,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,2,49
2023-2024 Inicio,MANABI,PEDERNALES,COJIMIES,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,54
2023-2024 Inicio,MANABI,PEDERNALES,COJIMIES,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,44
2023-2024 Inicio,MANABI,OLMEDO,OLMEDO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,12
2023-2024 Inicio,PICHINCHA,QUITO,CENTRO HISTORICO,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,Urbana,Sierra,61,962
2023-2024 Inicio,MORONA SANTIAGO,LIMON INDANZA,STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,2,14
2023-2024 Inicio,ORELLANA,ORELLANA,LA BELLEZA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,15
2023-2024 Inicio,CARCHI,TULCAN,EL CHICAL,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,8
2023-2024 Inicio,CHIMBORAZO,RIOBAMBA,SAN LUIS,Popular Permanente,Educación General Básica,Fiscal,Rural,Sierra,3,10
2023-2024 Inicio,PICHINCHA,QUITO,LA FERROVIARIA,Ordinario,Educación General Básica y Bachillerato,Fiscal,Urbana,Sierra,23,361
2023-2024 Inicio,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,3,88
2023-2024 Inicio,ORELLANA,LORETO,LORETO,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,29
2023-2024 Inicio,PICHINCHA,QUITO,EL CONDADO,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,Urbana,Sierra,19,400
2023-2024 Inicio,NAPO,EL CHACO,GONZALO DIAZ DE PINEDA (EL BOMBON),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,3,25
2023-2024 Inicio,SUCUMBIOS,LAGO AGRIO,EL ENO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,8
2023-2024 Inicio,ORELLANA,ORELLANA,DAYUMA,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,Rural,Sierra,11,240
2023-2024 Inicio,ORELLANA,AGUARICO,TIPUTINI,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,25
2023-2024 Inicio,ORELLANA,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,Urbana,Sierra,89,1827
2023-2024 Inicio,MANABI,BOLIVAR,CALCETA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,11
2023-2024 Inicio,MANABI,SANTA ANA,HONORATO VASQUEZ (CAB EN VASQUEZ),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,10
2023-2024 Inicio,MORONA SANTIAGO,MORONA,SEVILLA DON BOSCO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,12
2023-2024 Inicio,TUNGURAHUA,SANTIAGO DE PILLARO,SAN MIGUELITO,Ordinario,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,Rural,Sierra,44,633
2023-2024 Inicio,ORELLANA,LA JOYA DE LOS SACHAS,ENOKANQUI,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,2,40
